Start Date,Start Time,End Date,End Time,Duration (h)
03/05/2021,08:06:19,03/05/2021,08:06:25,00:00:06
03/05/2021,08:06:41,03/05/2021,09:07:52,01:01:11
03/05/2021,09:08:01,03/05/2021,12:17:54,03:09:53
03/05/2021,13:16:48,03/05/2021,17:57:32,04:40:44
04/05/2021,08:00:25,04/05/2021,08:41:44,00:41:19
04/05/2021,08:41:49,04/05/2021,09:44:27,01:02:38
05/05/2021,08:05:55,05/05/2021,09:07:03,01:01:08
05/05/2021,09:07:16,05/05/2021,12:23:14,03:15:58
05/05/2021,13:17:23,05/05/2021,18:01:50,04:44:27
06/05/2021,08:00:15,06/05/2021,10:12:03,02:11:48
06/05/2021,10:12:09,06/05/2021,12:14:07,02:01:58
06/05/2021,13:16:39,06/05/2021,18:00:49,04:44:10
07/05/2021,08:00:20,07/05/2021,08:13:48,00:13:28
07/05/2021,08:13:52,07/05/2021,09:55:29,01:41:37
07/05/2021,09:55:33,07/05/2021,12:14:36,02:19:03
07/05/2021,13:15:32,07/05/2021,17:00:57,03:45:25
10/05/2021,08:00:07,10/05/2021,09:11:07,01:11:00
10/05/2021,09:11:13,10/05/2021,09:12:26,00:01:13
25/05/2021,16:26:11,25/05/2021,16:52:23,00:26:12
31/05/2021,08:49:45,31/05/2021,08:49:46,00:00:01
03/05/2021,14:00:00,03/05/2021,14:48:53,00:48:53
05/05/2021,13:41:51,05/05/2021,14:23:19,00:41:28
06/05/2021,09:51:25,06/05/2021,11:51:40,02:00:15
06/05/2021,13:35:33,06/05/2021,14:09:53,00:34:20
06/05/2021,16:45:40,06/05/2021,17:22:55,00:37:15
07/05/2021,13:40:50,07/05/2021,14:40:54,01:00:04
07/05/2021,14:11:41,07/05/2021,14:20:37,00:08:56
07/05/2021,14:34:11,07/05/2021,14:38:14,00:04:03
07/05/2021,14:38:28,07/05/2021,14:38:34,00:00:06
07/05/2021,14:41:49,07/05/2021,15:54:26,01:12:37
07/05/2021,14:57:46,07/05/2021,15:07:12,00:09:26
07/05/2021,15:54:39,07/05/2021,16:16:00,00:21:21
